date,exp_unt,trt,plot,block,cultivar,graft,inoculum,disease score,notes
09/10/18,13,none,12,3,8504,none,10,0,
09/10/18,54,standard,3,3,5608,Maxi,0,0,
09/10/18,30,standard,9,3,5608,Maxi,10,6,
09/10/18,70,none,6,3,8504,none,0,0,
09/10/18,3,tall,2,3,8504,Maxi,0,0,
09/10/18,55,none,11,3,5608,none,10,3,
09/10/18,26,tall,1,3,5608,Maxi,0,0,
09/10/18,72,tall,8,3,8504,Maxi,10,0,
09/10/18,19,standard,10,4,8504,Maxi,10,0,
09/10/18,5,none,12,4,8504,none,10,0,
09/10/18,50,tall,2,4,8504,Maxi,0,0,
09/10/18,23,tall,7,4,5608,Maxi,10,0,
09/10/18,71,standard,4,4,8504,Maxi,0,0,
09/10/18,66,tall,1,4,5608,Maxi,0,0,
09/10/18,24,tall,8,4,8504,Maxi,10,0,
09/10/18,46,none,5,4,5608,none,0,0,
09/10/18,59,none,11,4,5608,none,10,4,
09/10/18,20,none,6,4,8504,none,0,3,
09/10/18,1,standard,3,4,5608,Maxi,0,0,
09/10/18,28,standard,9,4,5608,Maxi,10,7,dead
09/10/18,21,standard,4,5,8504,Maxi,0,0,
09/10/18,65,standard,10,5,8504,Maxi,10,4,
09/10/18,39,standard,3,5,5608,Maxi,0,0,
09/10/18,38,none,6,5,8504,none,0,0,
09/10/18,36,none,5,5,5608,none,0,0,
09/10/18,64,none,11,5,5608,none,10,0,
09/10/18,42,standard,9,5,5608,Maxi,10,0,
09/10/18,2,tall,1,5,5608,Maxi,0,0,
09/10/18,32,none,12,5,8504,none,10,0,
09/10/18,47,tall,7,5,5608,Maxi,10,6,
09/10/18,69,tall,8,5,8504,Maxi,10,0,
09/10/18,33,tall,2,5,8504,Maxi,0,0,
09/10/18,8,standard,3,6,5608,Maxi,0,0,
09/10/18,40,none,6,6,8504,none,0,0,
09/10/18,35,tall,2,6,8504,Maxi,0,0,
09/10/18,41,none,11,6,5608,none,10,7,dead
09/10/18,53,tall,8,6,8504,Maxi,10,0,
09/10/18,15,tall,7,6,5608,Maxi,10,7,
09/10/18,52,none,5,6,5608,none,0,0,
09/10/18,68,standard,10,6,8504,Maxi,10,0,
09/10/18,57,tall,1,6,5608,Maxi,0,0,
